Episode,Score,Average_Score
89,-64.8682260347912,-172.18663352362856
90,-219.452721837215,-172.7118122826684
91,-73.37550179720591,-171.62020447513584
92,-203.12913585455271,-171.96269285969473
93,-127.4211704308509,-171.48375175830932
94,-207.98416700143775,-171.87205404812983
95,-140.1645738255649,-171.53829109841863
96,-134.90219563231267,-171.15666510398
97,-188.21356531452778,-171.3325094360475
98,-476.0159581584588,-174.44152421892926
99,-158.84231688080595,-174.28395646803912
100,-205.89173502746888,-174.60003425363342
101,-211.5459285842338,-172.03949862993704
102,-229.8969918525121,-170.1327541117493
103,-484.3892421135069,-173.56127355873056
104,-179.77949579261178,-173.05052265169377
105,-77.88243961360168,-168.38237953885996
106,-124.16047863814386,-166.97241263456243
107,33.36255290452862,-163.13225532705366
108,-245.63400789566103,-164.93891670044636
109,-218.8577231392477,-164.19946020829192
110,-94.83060959805798,-163.9009047096726
111,-111.36156725638806,-163.99600504376264
112,-116.04114728843946,-162.46125794684696
113,-75.63644692029108,-159.78803380754402
114,-193.69242438007902,-160.37550011578486
115,-192.2943661182871,-160.9275638498376
116,-41.40730395674654,-158.1298168899055
117,-81.30728371032606,-155.9751686039711
118,-112.71895659478065,-155.3146641692647
119,-90.37790364112944,-153.6584031069853
120,-337.143208560832,-155.79642179474249
121,-81.34832993099256,-155.60353981514996
122,-173.83016168173233,-156.21185211321568
123,-97.82561029845502,-155.96378121102137
124,-7.37879452905581,-155.0607783304221
125,-226.80590176544865,-156.86779112714012
126,-69.89179905518677,-156.71967457630305
127,-59.94120812719161,-156.3248976495444
128,-82.49660536080945,-155.79469141591636
129,-50.54566185675152,-154.5670597658751
130,-245.17069273350566,-155.62238832345662
131,-102.27646354525947,-155.9596783112714
132,-211.6441552349781,-157.2330191782828
133,-62.911760329420375,-157.44137239559555
134,-67.29824455838028,-156.90293748548743
135,44.326128236277235,-155.42374159983888
136,-114.96199684352945,-154.59309879732567
137,-64.77790771589797,-154.70846830172505
138,-144.17943658390863,-153.44141550465835
139,-144.62815821324205,-153.31339512842982
140,-52.80658546473989,-154.01108720213898
141,-7.311257614057488,-152.2394134484856
142,-16.804284804244883,-150.7383645040654
143,-237.53650703727033,-151.2391130158568
144,-78.91917303794723,-150.4373005242059
145,-59.02648852405143,-150.46752332590506
146,-64.25507013562013,-149.44262813261068
147,-12.08689805343068,-146.9263874708394
148,-7.106026950004079,-144.76129937072355
149,-35.053557225176604,-144.2716261284708
150,-45.702260329071905,-143.45232168167672
151,-39.85803536817666,-141.3851375586604
152,20.402951384994168,-139.9278455358156
153,-41.6385894173147,-139.76824958287887
154,-3.0566808888885078,-138.93668031205772
155,-48.423362183263045,-138.78896468859247
156,-68.71433952844843,-137.4760382154855
157,-44.68281579272315,-136.93303855493056
158,-107.69536960355738,-137.31870155070092
159,-41.47643727096408,-137.2286912418326
160,-118.6063785670155,-134.69091272233064
161,41.251034220155475,-132.7593856597463
162,-53.90123475975122,-130.32327990227495
163,-110.2756505041567,-127.44845000971983
164,-45.73482792310675,-125.68594510738436
165,142.04649711884042,-124.30961556202887
166,-112.6121840820508,-123.21795695219537
167,-81.7314499146338,-123.33845676167111
168,-85.78556815219217,-123.65585741101236
169,84.47034724734391,-122.44169962945445
170,-177.98908658267692,-123.1897071278449
171,-94.05787795078504,-120.62716417485049
172,-51.016644099728225,-119.8140045662406
173,-250.9850282252707,-118.41656706967856
174,-95.73294964394935,-119.38832801220222
175,-31.33995961265029,-119.23538375559221
176,-106.12412310124441,-118.71302472323661
177,-105.79927448716546,-118.91556670712743
178,-40.61122433206329,-116.5640469916692
179,104.87087976760772,-112.72919245829138
180,123.09513469584105,-108.70186702418441
181,-120.2946872578547,-108.63129961562463
182,-109.27599671193923,-107.69013709866472
183,-20.401287242927964,-105.28891471573712
184,-76.86163743115937,-104.20009442477703
185,179.16995079189013,-101.36109839623617
186,-95.39177991371956,-99.53668686617358
187,-155.87776447358976,-100.28639508352995
188,214.42337645464687,-95.92273183190272
189,-99.37083438653465,-96.26775791542015
190,169.3484716837381,-92.37974598021061
191,-78.46708580651311,-92.4306618203037
192,-185.0430972110508,-92.24980143386867
193,-38.389018224388956,-91.35947991180404
194,-27.604092721249188,-89.55567916900216
195,-41.43252053742151,-88.56835863612072
196,-77.02703081573395,-87.98960698795491
197,-85.41890196989696,-86.96166035450861
198,-142.0665923370862,-83.6221666962949
199,20.57255873135997,-81.82801794017324
200,-34.810403247851276,-80.11720462237707
201,-64.96295757085353,-78.65137491224326
202,-94.38544250329838,-77.29625941875112
203,-173.58668799629524,-74.18823387757901
204,-60.73670565092814,-72.99780597616217
205,-80.11157813799083,-73.02009736140607
206,187.35965196139819,-69.90489605541065
207,-71.02296022167182,-70.94875118667264
208,-102.79470840753791,-69.52035819179142
209,-68.57001259833544,-68.01748108638229
210,-131.4306646937488,-68.38348163733919
211,-111.40596417680084,-68.38392560654333
212,-148.50384565832957,-68.70855259024222
213,-93.44594684715968,-68.88664758951091
214,-145.67896099736058,-68.40651295568372
215,-87.09024789940138,-67.35447177349488
216,-52.31905332795578,-67.46358926720696
217,-134.1339141458613,-67.99185557156233
218,-64.33374839208967,-67.5080034895354
