Episode,Score,Average_Score
1,-677.292165532801,-677.292165532801
2,-648.922221386524,-663.1071934596625
3,-168.5601630610177,-498.2581833267809
4,-482.1788288405206,-494.2383447052158
5,-381.6287593688922,-471.7164276379511
6,-215.1565254088262,-428.956443933097
7,-133.32508979930412,-386.72339334255514
8,-137.1779538720916,-355.5302134087472
9,-549.104848184502,-377.03850616160884
10,-124.94774525289782,-351.8294300707377
11,-120.77035613213292,-330.82405971268275
12,-201.6259803359793,-320.05755309795745
13,-212.25955873064333,-311.7653996850871
14,-139.4199974314206,-299.45501380982523
15,-130.53559833929114,-288.19371944512295
16,-130.75078943182098,-278.3535363192916
17,-255.30844069318252,-276.99794245893224
18,-197.49193225320766,-272.58094189194753
19,-169.18738479988684,-267.13917572920747
20,-162.73452911374767,-261.9189433984345
21,-120.22298206561811,-255.17151666830043
22,-159.8798115314214,-250.840075525715
23,-198.7318686080818,-248.57450131190487
24,-95.55726337758881,-242.19878306464167
25,-162.35690864824625,-239.00510808798586
26,-182.75936308140018,-236.84181020311718
27,-174.75855297791895,-234.54243030588762
28,-123.30190659898807,-230.56955445921264
29,-218.56803327569378,-230.15570890116027
30,-163.14737113600467,-227.92209764232175
31,-105.98988981735872,-223.98880061571003
32,-128.62334058019644,-221.00862998960022
33,-128.66877067641903,-218.21045243465534
34,-136.8315212598944,-215.81695445892706
35,-154.02657822176548,-214.05151513786532
36,-138.09139197871542,-211.94151171677782
37,-130.0184566169968,-209.7273750924594
38,-147.51807699013278,-208.0902883002929
39,-133.05169046813495,-206.16622168921194
40,-112.0589011315883,-203.81353867527136
41,-132.41209966304174,-202.07204016277794
42,-137.26524514914908,-200.529021233882
43,-127.60588500707587,-198.83313434488653
44,-291.93441488471376,-200.94907253897352
45,-145.17953974703315,-199.7097495880415
46,-117.88814766064922,-197.93101911135906
47,-101.53870640370786,-195.8801188409835
48,-113.34364597096166,-194.16060898952472
49,-138.56942694382462,-193.02609507022473
50,-119.5764336900526,-191.55710184262128
51,-169.36316657318363,-191.12192664125973
52,-136.02710432293625,-190.06241082744583
53,-128.22738937827035,-188.89571230953686
54,-137.28644504597835,-187.93998513798948
55,16.553788623260658,-184.22191652414855
56,-133.07071642915525,-183.30850223673798
57,-211.03955971968705,-183.7950120171406
58,-312.4600801298152,-186.01337526046257
59,-124.3095487167698,-184.96754769192543
60,-107.99824303636271,-183.68472594766607
61,-132.52171798837702,-182.84598811226786
62,-117.06675952446446,-181.7850328124646
63,-133.86624113011047,-181.02441707147483
64,-117.31422442465382,-180.02894531136826
65,-198.76723022491768,-180.31722661773057
66,-133.1834576416227,-179.60307860294103
67,-175.11494167674937,-179.53609148463966
68,-171.42222108047537,-179.416769861049
69,-195.66435474078622,-179.65224210568286
70,-102.32287059833793,-178.5475367984351
71,-123.24593635442167,-177.7686410175335
72,-146.2801270341351,-177.33130054554184
73,-108.07961191982736,-176.38264727669645
74,-110.65314678384215,-175.49441078354974
75,-103.63607482896339,-174.53629963748858
76,-121.23487809698184,-173.83496514353456
77,-107.76956956743129,-172.97697299319555
78,-138.61672691731752,-172.5364570178638
79,-87.56147913715093,-171.46082438646238
80,-110.64381341631591,-170.70061174933554
81,-90.18582616952068,-169.7066020508193
82,-15.175717081118933,-167.82207906338394
83,-128.11087745643252,-167.34363085125202
84,-121.04023825951421,-166.79239998706467
85,-118.97559779849138,-166.22984937308144
86,-118.93459632291572,-165.67990457017254
87,-92.8163892076664,-164.84239289933913
88,-110.02414023394812,-164.21945820995967
89,-153.99802740990214,-164.10461067288037
90,-109.37154850461701,-163.49646553767747
91,-153.2741221246124,-163.38413209357785
92,-116.35930230796552,-162.87299263938638
93,-104.9959737516183,-162.25065910295876
94,-51.96287232485059,-161.0773847755321
95,-135.19634964133536,-160.80495282675108
96,-99.70671938250396,-160.16851289504018
97,-121.58244252949888,-159.77071835518925
98,-125.41762041903061,-159.42017653951416
99,-132.0183867716722,-159.1433907842834
